,DB12582,1437,-1,编号,数字部分,新编号
339,DB08846,10528,-1,338,08846,338
340,DB08846,2941,1,338,08846,338
341,DB08846,4130,-1,338,08846,338
342,DB08846,6774,-1,338,08846,338
343,DB08846,8434,1,338,08846,338
344,DB08846,1543,-1,338,08846,338
345,DB08846,3725,-1,338,08846,338
346,DB08846,2316,-1,338,08846,338
347,DB08846,836,-1,338,08846,338
348,DB08846,7375,-1,338,08846,338
349,DB08846,6938,1,338,08846,338
350,DB08846,6774,-1,338,08846,338
351,DB08846,4862,1,338,08846,338
352,DB08846,4791,-1,338,08846,338
353,DB01919,56890,-1,246,01919,246
354,DB01919,56033,1,246,01919,246
355,DB01919,8369,-1,246,01919,246
356,DB01919,478,1,246,01919,246
357,DB01919,51702,1,246,01919,246
358,DB01919,25797,1,246,01919,246
359,DB01919,3569,1,246,01919,246
360,DB01919,4884,1,246,01919,246
361,DB01919,10855,1,246,01919,246
362,DB01919,6785,1,246,01919,246
363,DB01919,64137,1,246,01919,246
364,DB01919,3784,1,246,01919,246
365,DB01919,79068,-1,246,01919,246
366,DB01919,1475,1,246,01919,246
367,DB01919,7157,-1,246,01919,246
368,DB01919,84288,-1,246,01919,246
369,DB01919,4501,1,246,01919,246
370,DB01919,51440,1,246,01919,246
371,DB01919,1013,1,246,01919,246
372,DB01919,64799,-1,246,01919,246
373,DB01919,3823,-1,246,01919,246
374,DB01919,10892,-1,246,01919,246
375,DB01919,25907,1,246,01919,246
376,DB01919,150726,1,246,01919,246
377,DB01919,2898,-1,246,01919,246
378,DB01919,78986,1,246,01919,246
379,DB01919,285203,-1,246,01919,246
380,DB01919,23327,-1,246,01919,246
381,DB01919,63928,1,246,01919,246
382,DB01919,4953,1,246,01919,246
383,DB01919,753,1,246,01919,246
384,DB01919,5630,1,246,01919,246
385,DB01919,4486,1,246,01919,246
386,DB01919,3115,1,246,01919,246
387,DB01919,84951,1,246,01919,246
388,DB01919,57337,-1,246,01919,246
389,DB01919,55691,-1,246,01919,246
390,DB01919,4811,1,246,01919,246
391,DB01919,83478,-1,246,01919,246
392,DB01919,309,1,246,01919,246
393,DB01919,10302,-1,246,01919,246
394,DB01919,1364,1,246,01919,246
395,DB01919,79412,1,246,01919,246
396,DB01919,3748,1,246,01919,246
397,DB01919,26953,-1,246,01919,246
398,DB01919,2045,-1,246,01919,246
399,DB01919,3778,1,246,01919,246
400,DB01919,79722,1,246,01919,246
401,DB01919,3429,1,246,01919,246
402,DB01919,2628,1,246,01919,246
403,DB01919,154,1,246,01919,246
404,DB01919,5650,1,246,01919,246
405,DB01919,8837,-1,246,01919,246
406,DB01919,1612,-1,246,01919,246
407,DB01919,112479,-1,246,01919,246
408,DB01919,7852,1,246,01919,246
409,DB01919,79983,-1,246,01919,246
410,DB01919,360,-1,246,01919,246
411,DB01919,5729,-1,246,01919,246
412,DB01919,219699,1,246,01919,246
413,DB01919,79846,-1,246,01919,246
414,DB01919,8406,1,246,01919,246
415,DB01919,885,1,246,01919,246
416,DB01919,6309,-1,246,01919,246
417,DB01919,11113,-1,246,01919,246
418,DB01919,10647,1,246,01919,246
419,DB01919,28986,1,246,01919,246
420,DB01919,3357,-1,246,01919,246
421,DB01919,26190,-1,246,01919,246
422,DB01919,54507,1,246,01919,246
423,DB01919,762,1,246,01919,246
424,DB01919,440,1,246,01919,246
425,DB01919,4868,1,246,01919,246
426,DB01919,55801,-1,246,01919,246
427,DB01919,3547,1,246,01919,246
428,DB01919,55740,-1,246,01919,246
429,DB01919,9636,1,246,01919,246
430,DB01919,7551,-1,246,01919,246
431,DB01919,8744,1,246,01919,246
432,DB01919,80195,-1,246,01919,246
433,DB01919,5577,1,246,01919,246
434,DB01919,177,-1,246,01919,246
435,DB01919,7062,1,246,01919,246
436,DB01919,89795,1,246,01919,246
437,DB01919,115207,1,246,01919,246
438,DB01919,467,1,246,01919,246
439,DB01919,80830,-1,246,01919,246
440,DB01919,6196,1,246,01919,246
441,DB01919,2797,1,246,01919,246
442,DB01919,79152,1,246,01919,246
443,DB01919,822,1,246,01919,246
444,DB01919,482,1,246,01919,246
445,DB01919,348,1,246,01919,246
446,DB01919,51303,1,246,01919,246
447,DB01919,1969,1,246,01919,246
448,DB01919,6253,1,246,01919,246
449,DB01919,5828,-1,246,01919,246
450,DB01919,5880,1,246,01919,246
451,DB01919,408,-1,246,01919,246
452,DB01919,81847,-1,246,01919,246
453,DB01919,9824,-1,246,01919,246
454,DB01919,92815,-1,246,01919,246
455,DB01919,6347,1,246,01919,246
456,DB01919,9971,-1,246,01919,246
457,DB01919,27239,1,246,01919,246
458,DB01919,9473,1,246,01919,246
459,DB01919,92104,-1,246,01919,246
460,DB01919,79800,-1,246,01919,246
461,DB01919,25960,1,246,01919,246
462,DB01919,1081,1,246,01919,246
463,DB01919,6354,1,246,01919,246
464,DB01919,64795,-1,246,01919,246
465,DB01919,8788,1,246,01919,246
466,DB01919,29799,-1,246,01919,246
467,DB01919,1848,1,246,01919,246
468,DB01919,56301,1,246,01919,246
469,DB01919,7018,-1,246,01919,246
470,DB01919,80328,1,246,01919,246
471,DB01919,25769,1,246,01919,246
472,DB01919,7404,-1,246,01919,246
473,DB01919,51123,-1,246,01919,246
474,DB01919,9400,-1,246,01919,246
475,DB01919,2330,-1,246,01919,246
476,DB01919,151,1,246,01919,246
477,DB01919,1356,-1,246,01919,246
478,DB01919,2804,-1,246,01919,246
479,DB01919,79768,-1,246,01919,246
480,DB01919,58495,1,246,01919,246
481,DB01919,9610,1,246,01919,246
482,DB01919,1852,1,246,01919,246
483,DB01919,23676,-1,246,01919,246
484,DB01919,1178,1,246,01919,246
485,DB01919,51200,1,246,01919,246
486,DB01919,30009,1,246,01919,246
487,DB01919,3805,-1,246,01919,246
488,DB01919,2252,-1,246,01919,246
489,DB01919,5521,1,246,01919,246
490,DB01919,25984,1,246,01919,246
491,DB01919,6624,1,246,01919,246
492,DB01919,525,-1,246,01919,246
493,DB01919,3780,1,246,01919,246
494,DB01919,1436,1,246,01919,246
495,DB01919,55521,1,246,01919,246
496,DB01919,25862,-1,246,01919,246
497,DB01919,4313,1,246,01919,246
498,DB01919,3134,1,246,01919,246
499,DB01919,3268,-1,246,01919,246
500,DB01919,58528,1,246,01919,246
501,DB01919,54816,-1,246,01919,246
502,DB01919,80303,1,246,01919,246
503,DB01919,10148,1,246,01919,246
504,DB01919,8785,1,246,01919,246
505,DB01919,29123,-1,246,01919,246
506,DB01919,10677,-1,246,01919,246
507,DB01919,26038,1,246,01919,246
508,DB01919,2637,1,246,01919,246
509,DB01919,6506,1,246,01919,246
510,DB01919,8243,-1,246,01919,246
511,DB01919,10716,1,246,01919,246
512,DB01919,199731,1,246,01919,246
513,DB01919,3026,-1,246,01919,246
514,DB01919,5028,1,246,01919,246
515,DB01919,597,1,246,01919,246
516,DB01919,79366,1,246,01919,246
517,DB01919,10499,-1,246,01919,246
518,DB01919,26468,1,246,01919,246
519,DB01919,9477,-1,246,01919,246
520,DB01919,7761,-1,246,01919,246
521,DB01919,9563,-1,246,01919,246
522,DB01919,643,-1,246,01919,246
523,DB01919,10656,1,246,01919,246
524,DB01919,9435,1,246,01919,246
525,DB01919,23348,-1,246,01919,246
526,DB01919,22849,-1,246,01919,246
527,DB01919,5420,1,246,01919,246
528,DB01919,54550,-1,246,01919,246
529,DB01919,2781,1,246,01919,246
530,DB01919,27074,1,246,01919,246
531,DB01919,9856,-1,246,01919,246
532,DB01919,57209,-1,246,01919,246
533,DB01919,5270,1,246,01919,246
534,DB01919,3426,-1,246,01919,246
535,DB01919,3587,1,246,01919,246
536,DB01919,4155,-1,246,01919,246
537,DB01919,5829,1,246,01919,246
538,DB01919,3897,1,246,01919,246
539,DB01919,140461,-1,246,01919,246
540,DB01919,9499,1,246,01919,246
541,DB01919,79583,-1,246,01919,246
542,DB01919,3955,1,246,01919,246
543,DB01919,11160,-1,246,01919,246
544,DB01919,1117,-1,246,01919,246
545,DB01919,3149,-1,246,01919,246
546,DB01919,83737,-1,246,01919,246
547,DB01919,8712,1,246,01919,246
548,DB01919,79940,-1,246,01919,246
549,DB01919,8864,-1,246,01919,246
550,DB01919,684,1,246,01919,246
551,DB01919,140803,1,246,01919,246
552,DB01919,4741,1,246,01919,246
553,DB01919,1718,-1,246,01919,246
554,DB01919,2642,1,246,01919,246
555,DB01919,10610,-1,246,01919,246
556,DB01919,51533,-1,246,01919,246
557,DB01919,9659,1,246,01919,246
558,DB01919,55187,-1,246,01919,246
559,DB01919,3196,1,246,01919,246
560,DB01919,9595,-1,246,01919,246
561,DB01919,3166,1,246,01919,246
562,DB01919,8674,-1,246,01919,246
563,DB01919,2316,1,246,01919,246
564,DB01919,9770,1,246,01919,246
565,DB01919,6752,1,246,01919,246
566,DB01919,130,-1,246,01919,246
567,DB01919,1917,1,246,01919,246
568,DB01919,3687,1,246,01919,246
569,DB01919,4185,1,246,01919,246
570,DB01919,4675,1,246,01919,246
571,DB01919,26249,-1,246,01919,246
572,DB01919,3231,1,246,01919,246
573,DB01919,79364,-1,246,01919,246
